SCHOOL_CODE,COUNTY,PUBPRIV,PUBLIC_SCHOOL_DISTRICT,CITY,SCHOOL_NAME,ENROLLMENT,uptodate,uptodate_percent,conditional,conditional_percent,PME,PME_percent,PBE,PBE_percent,others,others_pct,overdue,overdue_percent,DTP,DTP_percent,Polio,Polio_percent,MMR,MMR_percent,HEPB,HEPB_percent,VARI,VARI_percent,REPORTED
6008346,IMPERIAL,PUBLIC,CALEXICO UNIFIED,CALEXICO,DOOL ELEMENTARY,101,98,97,0,0,0,0,0,0,0,0,3,3,99,98,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6008361,IMPERIAL,PUBLIC,CALEXICO UNIFIED,CALEXICO,JEFFERSON ELEMENTARY,100,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6099485,IMPERIAL,PUBLIC,CALEXICO UNIFIED,CALEXICO,KENNEDY GARDENS ELEMENTARY,94,91,97,0,0,0,0,0,0,0,0,3,3,91,97,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6008387,IMPERIAL,PUBLIC,CALEXICO UNIFIED,CALEXICO,MAINS ELEMENTARY,97,--*,?98%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6008379,IMPERIAL,PUBLIC,CALEXICO UNIFIED,CALEXICO,ROCKWOOD ELEMENTARY,116,113,97,2,2,0,0,0,0,0,0,1,1,114,98,114,98,114,98,--*,?99%,--*,?99%,Y
6103535,IMPERIAL,PUBLIC,CALIPATRIA UNIFIED,CALIPATRIA,FREMONT PRIMARY,80,--*,?98%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
0118455,IMPERIAL,PUBLIC,EL CENTRO ELEMENTARY,EL CENTRO,BALLINGTON ACADEMY FOR THE ARTS AND SCIENCES,69,--*,?98%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6008411,IMPERIAL,PUBLIC,EL CENTRO ELEMENTARY,EL CENTRO,DE ANZA MAGNET,50,--*,?98%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6008429,IMPERIAL,PUBLIC,EL CENTRO ELEMENTARY,EL CENTRO,DESERT GARDEN ELEMENTARY,72,--*,?98%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6008437,IMPERIAL,PUBLIC,EL CENTRO ELEMENTARY,EL CENTRO,HARDING ELEMENTARY,85,--*,?98%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
0121855,IMPERIAL,PUBLIC,EL CENTRO ELEMENTARY,EL CENTRO,IMAGINE SCHOOLS AT IMPERIAL VALLEY,110,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6008452,IMPERIAL,PUBLIC,EL CENTRO ELEMENTARY,EL CENTRO,LINCOLN ELEMENTARY,63,--*,?98%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6008460,IMPERIAL,PUBLIC,EL CENTRO ELEMENTARY,EL CENTRO,MARGARET HEDRICK ELEMENTARY,95,--*,?98%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6108823,IMPERIAL,PUBLIC,EL CENTRO ELEMENTARY,EL CENTRO,MARTIN LUTHER KING JR. ELEMENTARY,76,--*,?98%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6008478,IMPERIAL,PUBLIC,EL CENTRO ELEMENTARY,EL CENTRO,MCKINLEY ELEMENTARY,50,--*,?98%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6113658,IMPERIAL,PUBLIC,EL CENTRO ELEMENTARY,EL CENTRO,SUNFLOWER ELEMENTARY,48,--*,?95%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,Y
6008486,IMPERIAL,PUBLIC,EL CENTRO ELEMENTARY,EL CENTRO,WASHINGTON ELEMENTARY,51,--*,?98%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
0135657,IMPERIAL,PUBLIC,HEBER ELEMENTARY,HEBER,DOGWOOD ELEMENTARY,159,155,97,4,3,0,0,0,0,0,0,0,0,--*,?99%,--*,?99%,155,97,--*,?99%,--*,?99%,Y
6008502,IMPERIAL,PUBLIC,HEBER ELEMENTARY,HEBER,HEBER ELEMENTARY,159,155,97,4,3,0,0,0,0,0,0,0,0,--*,?99%,--*,?99%,155,97,--*,?99%,--*,?99%,Y
6008510,IMPERIAL,PUBLIC,HOLTVILLE UNIFIED,HOLTVILLE,EMMETT S. FINLEY ELEMENTARY,117,115,98,1,1,1,1,0,0,0,0,0,0,--*,?99%,--*,?99%,115,98,--*,?99%,--*,?99%,Y
6069272,IMPERIAL,PUBLIC,IMPERIAL COUNTY OFFICE OF EDUCATION,EL CENTRO,IMPERIAL COUNTY SPECIAL EDUCATION,50,41,82,0,0,1,2,0,0,8,16,0,0,41,82,42,84,42,84,--*,?98%,--*,?98%,Y
6008551,IMPERIAL,PUBLIC,IMPERIAL UNIFIED,IMPERIAL,BEN HULSE ELEMENTARY,187,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6117808,IMPERIAL,PUBLIC,IMPERIAL UNIFIED,IMPERIAL,T. L. WAGGONER ELEMENTARY,170,166,98,1,1,0,0,0,0,0,0,3,2,--*,?99%,--*,?99%,167,98,167,98,--*,?99%,Y
6008593,IMPERIAL,PUBLIC,MCCABE UNION ELEMENTARY,EL CENTRO,MCCABE ELEMENTARY,177,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6008619,IMPERIAL,PUBLIC,MEADOWS UNION ELEMENTARY,EL CENTRO,MEADOWS ELEMENTARY,51,--*,?98%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6008635,IMPERIAL,PUBLIC,SAN PASQUAL VALLEY UNIFIED,WINTERHAVEN,SAN PASQUAL VALLEY ELEMENTARY,51,--*,?98%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6008643,IMPERIAL,PUBLIC,SEELEY UNION ELEMENTARY,SEELEY,SEELEY ELEMENTARY,45,--*,?95%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,Y
6008650,IMPERIAL,PUBLIC,WESTMORLAND UNION ELEMENTARY,WESTMORLAND,WESTMORLAND ELEMENTARY,42,--*,?95%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,Y
6968226,IMPERIAL,PRIVATE,,CALEXICO,OUR LADY OF GUADALUPE ACADEMY,23,20,87,0,0,0,0,0,0,0,0,3,13,20,87,21,91,21,91,--*,?95%,--*,?95%,Y
6070783,INYO,PUBLIC,BISHOP UNIFIED,BISHOP,ELM STREET ELEMENTARY,151,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6008775,INYO,PUBLIC,LONE PINE UNIFIED,LONE PINE,LO-INYO ELEMENTARY,28,--*,?95%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,Y
6974109,INYO,PRIVATE,,BISHOP,BISHOP ADVENTIST CHRISTIAN SCHOOL,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,N
6110464,KERN,PUBLIC,ARVIN UNION,ARVIN,BEAR MOUNTAIN ELEMENTARY,128,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
0113027,KERN,PUBLIC,ARVIN UNION,ARVIN,EL CAMINO REAL ELEMENTARY,137,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6008833,KERN,PUBLIC,ARVIN UNION,ARVIN,SIERRA VISTA ELEMENTARY,131,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6009138,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,BESSIE E. OWENS PRIMARY,162,159,98,3,2,0,0,0,0,0,0,0,0,159,98,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6008858,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,CAROLINE HARRIS ELEMENTARY,87,81,93,5,6,1,1,0,0,0,0,0,0,83,95,84,97,--*,?98%,84,97,--*,?98%,Y
6008866,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,CASA LOMA ELEMENTARY,128,126,98,2,2,0,0,0,0,0,0,0,0,126,98,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6111900,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,CESAR E. CHAVEZ ELEMENTARY,107,105,98,0,0,2,2,0,0,0,0,0,0,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6008882,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,COLLEGE HEIGHTS ELEMENTARY,131,127,97,4,3,0,0,0,0,0,0,0,0,128,98,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6008890,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,COLONEL HOWARD NICHOLS ELEMENTARY,141,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6114284,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,DOWNTOWN ELEMENTARY,42,--*,?95%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,Y
0129171,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,DR. DOUGLAS K. FLETCHER ELEMENTARY,117,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6109078,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,DR. JULIET THORNER ELEMENTARY,135,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6008874,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,EVERGREEN ELEMENTARY,131,129,98,1,1,1,1,0,0,0,0,0,0,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6008924,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,FRANK WEST ELEMENTARY,134,130,97,4,3,0,0,0,0,0,0,0,0,130,97,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6008932,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,FRANKLIN ELEMENTARY,84,80,95,3,4,1,1,0,0,0,0,0,0,81,96,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6008940,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,FREMONT ELEMENTARY,114,111,97,3,3,0,0,0,0,0,0,0,0,112,98,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6008965,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,HARDING ELEMENTARY,96,93,97,3,3,0,0,0,0,0,0,0,0,93,97,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6008973,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,HENRY EISSLER ELEMENTARY,59,57,97,2,3,0,0,0,0,0,0,0,0,57,97,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6008981,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,HORACE MANN ELEMENTARY,164,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6008999,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,HORT ELEMENTARY,101,99,98,2,2,0,0,0,0,0,0,0,0,99,98,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6009013,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,JEFFERSON ELEMENTARY,122,113,93,7,6,2,2,0,0,0,0,0,0,113,93,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6009047,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,LEO G. PAULY ELEMENTARY,130,126,97,4,3,0,0,0,0,0,0,0,0,126,97,128,98,--*,?99%,--*,?99%,--*,?99%,Y
6009062,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,LONGFELLOW ELEMENTARY,140,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6009070,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,MCKINLEY ELEMENTARY,159,156,98,3,2,0,0,0,0,0,0,0,0,156,98,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6009088,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,MT. VERNON ELEMENTARY,118,116,98,2,2,0,0,0,0,0,0,0,0,116,98,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6009096,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,MUNSEY ELEMENTARY,126,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6009104,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,MYRA A. NOBLE ELEMENTARY,152,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6009120,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,PIONEER DRIVE ELEMENTARY,114,110,96,4,4,0,0,0,0,0,0,0,0,111,97,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6109052,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,RAMON GARZA ELEMENTARY,165,160,97,5,3,0,0,0,0,0,0,0,0,160,97,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6009146,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,ROOSEVELT ELEMENTARY,86,82,95,3,3,1,1,0,0,0,0,0,0,83,97,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6109060,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,STELLA I. HILLS ELEMENTARY,140,134,96,6,4,0,0,0,0,0,0,0,0,134,96,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6009161,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,VOORHIES ELEMENTARY,144,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6009187,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,WAYSIDE ELEMENTARY,156,153,98,3,2,0,0,0,0,0,0,0,0,153,98,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6009195,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,WILLIAM PENN ELEMENTARY,45,--*,?95%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,Y
6009203,KERN,PUBLIC,BAKERSFIELD CITY,BAKERSFIELD,WILLIAMS ELEMENTARY,90,86,96,4,4,0,0,0,0,0,0,0,0,87,97,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6009211,KERN,PUBLIC,BEARDSLEY ELEMENTARY,BAKERSFIELD,BEARDSLEY ELEMENTARY,75,71,95,2,3,0,0,0,0,0,0,2,3,71,95,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6009237,KERN,PUBLIC,BEARDSLEY ELEMENTARY,BAKERSFIELD,NORTH BEARDSLEY ELEMENTARY,143,138,97,5,3,0,0,0,0,0,0,0,0,139,97,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
0108589,KERN,PUBLIC,BEARDSLEY ELEMENTARY,BAKERSFIELD,SAN LAUREN ELEMENTARY,86,--*,?98%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6009278,KERN,PUBLIC,BUTTONWILLOW UNION ELEMENTARY,BUTTONWILLOW,BUTTONWILLOW ELEMENTARY,40,--*,?95%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,Y
6009344,KERN,PUBLIC,DELANO UNION ELEMENTARY,DELANO,ALBANY PARK ELEMENTARY,52,--*,?98%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6009369,KERN,PUBLIC,DELANO UNION ELEMENTARY,DELANO,DEL VISTA MATH AND SCIENCE ACADEMY,103,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6009377,KERN,PUBLIC,DELANO UNION ELEMENTARY,DELANO,FREMONT ELEMENTARY,104,102,98,2,2,0,0,0,0,0,0,0,0,102,98,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
0106575,KERN,PUBLIC,DELANO UNION ELEMENTARY,DELANO,HARVEST ELEMENTARY,76,--*,?98%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6117915,KERN,PUBLIC,DELANO UNION ELEMENTARY,DELANO,MORNINGSIDE,115,113,98,2,2,0,0,0,0,0,0,0,0,113,98,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
0120139,KERN,PUBLIC,DELANO UNION ELEMENTARY,DELANO,NUEVA VISTA LANGUAGE ACADEMY,91,--*,?98%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
0127712,KERN,PUBLIC,DELANO UNION ELEMENTARY,DELANO,PIONEER,129,126,98,3,2,0,0,0,0,0,0,0,0,--*,?99%,--*,?99%,127,98,--*,?99%,--*,?99%,Y
6111355,KERN,PUBLIC,DELANO UNION ELEMENTARY,DELANO,PRINCETON STREET ELEMENTARY,75,--*,?98%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6009393,KERN,PUBLIC,DELANO UNION ELEMENTARY,DELANO,TERRACE ELEMENTARY,103,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6009443,KERN,PUBLIC,EDISON ELEMENTARY,BAKERSFIELD,ORANGEWOOD ELEMENTARY,151,145,96,5,3,0,0,0,0,0,0,1,1,145,96,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6009476,KERN,PUBLIC,EL TEJON UNIFIED,LEBEC,FRAZIER PARK ELEMENTARY,49,--*,?95%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,Y
0106690,KERN,PUBLIC,FAIRFAX ELEMENTARY,BAKERSFIELD,SHIRLEY LANE ELEMENTARY,113,109,96,4,4,0,0,0,0,0,0,0,0,111,98,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6009500,KERN,PUBLIC,FAIRFAX ELEMENTARY,BAKERSFIELD,VIRGINIA AVENUE ELEMENTARY,117,108,92,7,6,0,0,0,0,0,0,2,2,111,95,115,98,115,98,--*,?99%,--*,?99%,Y
0129130,KERN,PUBLIC,FAIRFAX ELEMENTARY,BAKERSFIELD,ZEPHYR LANE ELEMENTARY,108,105,97,3,3,0,0,0,0,0,0,0,0,106,98,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6112783,KERN,PUBLIC,FRUITVALE ELEMENTARY,BAKERSFIELD,COLUMBIA ELEMENTARY,74,65,88,7,9,2,3,0,0,0,0,0,0,71,96,71,96,70,95,--*,?98%,--*,?98%,Y
6109987,KERN,PUBLIC,FRUITVALE ELEMENTARY,BAKERSFIELD,DISCOVERY ELEMENTARY,120,117,98,3,3,0,0,0,0,0,0,0,0,118,98,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6112791,KERN,PUBLIC,FRUITVALE ELEMENTARY,BAKERSFIELD,ENDEAVOUR ELEMENTARY,112,108,96,4,4,0,0,0,0,0,0,0,0,108,96,110,98,--*,?99%,--*,?99%,--*,?99%,Y
6101588,KERN,PUBLIC,FRUITVALE ELEMENTARY,BAKERSFIELD,QUAILWOOD ELEMENTARY,48,--*,?95%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,Y
6009559,KERN,PUBLIC,GREENFIELD UNION,BAKERSFIELD,FAIRVIEW ELEMENTARY,103,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
0116715,KERN,PUBLIC,GREENFIELD UNION,BAKERSFIELD,GRANITE POINTE ELEMENTARY,179,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
0110767,KERN,PUBLIC,GREENFIELD UNION,BAKERSFIELD,HORIZON ELEMENTARY,137,133,97,1,1,0,0,0,0,0,0,3,2,--*,?99%,--*,?99%,133,97,--*,?99%,--*,?99%,Y
6009583,KERN,PUBLIC,GREENFIELD UNION,BAKERSFIELD,PLANTATION ELEMENTARY,123,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6009591,KERN,PUBLIC,GREENFIELD UNION,BAKERSFIELD,PLANZ ELEMENTARY,146,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6111157,KERN,PUBLIC,GREENFIELD UNION,BAKERSFIELD,RAFFAELLO PALLA ELEMENTARY,192,186,97,0,0,0,0,0,0,0,0,6,3,--*,?99%,--*,?99%,189,98,--*,?99%,--*,?99%,Y
0100685,KERN,PUBLIC,GREENFIELD UNION,BAKERSFIELD,VALLE VERDE ELEMENTARY,194,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6108468,KERN,PUBLIC,GREENFIELD UNION,BAKERSFIELD,W. A. KENDRICK ELEMENTARY,138,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
0124040,KERN,PUBLIC,KERN COUNTY OFFICE OF EDUCATION,ARVIN,GRIMMWAY ACADEMY,91,--*,?98%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?2%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,--*,?98%,Y
6069496,KERN,PUBLIC,KERN COUNTY OFFICE OF EDUCATION,BAKERSFIELD,KERN COUNTY SPECIAL EDUCATION,28,16,57,0,0,1,4,0,0,11,39,0,0,16,57,16,57,17,61,23,82,23,82,Y
1530492,KERN,PUBLIC,KERN COUNTY OFFICE OF EDUCATION,BAKERSFIELD,VALLEY OAKS CHARTER,113,76,67,0,0,0,0,0,0,37,33,0,0,76,67,76,67,76,67,76,67,76,67,Y
0119669,KERN,PUBLIC,KERN COUNTY OFFICE OF EDUCATION,DELANO,WONDERFUL COLLEGE PREP ACADEMY - DELANO,99,85,86,14,14,0,0,0,0,0,0,0,0,88,89,88,89,91,92,--*,?98%,--*,?98%,Y
0135467,KERN,PUBLIC,KERN COUNTY OFFICE OF EDUCATION,Lost Hills,Wonderful College Prep Academy - Lost Hills,50,42,84,5,10,0,0,0,0,0,0,3,6,45,90,43,86,43,86,--*,?98%,47,94,Y
6009641,KERN,PUBLIC,KERNVILLE UNION ELEMENTARY,KERNVILLE,KERNVILLE ELEMENTARY,21,--*,?95%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,Y
6009658,KERN,PUBLIC,KERNVILLE UNION ELEMENTARY,LAKE ISABELLA,WOODROW W. WALLACE ELEMENTARY,97,93,96,3,3,0,0,0,0,0,0,1,1,93,96,94,97,--*,?98%,--*,?98%,--*,?98%,Y
6115042,KERN,PUBLIC,LAKESIDE UNION,BAKERSFIELD,DONALD E. SUBURU,121,--*,?99%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?1%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6009666,KERN,PUBLIC,LAKESIDE UNION,BAKERSFIELD,LAKESIDE,21,--*,?95%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?5%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,--*,?95%,Y
6009674,KERN,PUBLIC,LAMONT ELEMENTARY,LAMONT,ALICANTE AVENUE ELEMENTARY,172,168,98,2,1,0,0,0,0,0,0,2,1,168,98,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
6009682,KERN,PUBLIC,LAMONT ELEMENTARY,LAMONT,LAMONT ELEMENTARY,229,223,97,6,3,0,0,0,0,0,0,0,0,225,98,--*,?99%,--*,?99%,--*,?99%,--*,?99%,Y
